,pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
48,IYJ & VIS,short,2021-02-12,2021-02-24,8,2.747903220431139,0.4975390722306897,0.05201243249268739,0.04009339894939856,0.011959604066013707
49,IYJ & VIS,short,2021-04-13,2021-05-10,20,2.222561090381999,0.29760773194687695,0.05194939682410382,0.04287707978287525,0.009065678015630185
50,IYJ & VIS,short,2021-07-06,2021-09-21,55,2.066358019700214,0.4505042118857563,0.05738417877852431,0.060444100490421704,-0.0031535065628340853
51,IYJ & VIS,long,2021-10-29,2021-12-30,43,-2.0197873698903357,-0.4658090891452422,0.036660488408298164,0.04246347460006117,0.0055628104166780545
52,IYJ & VIS,long,2022-03-01,2022-04-05,26,-2.1150779455476862,-0.46388258571439905,0.0067575902209027205,0.01929409300813223,0.012352549543552804
53,IYJ & VIS,long,2022-09-15,2022-11-15,44,-2.038412684948951,-0.49735483367533956,-0.02214279143691744,-0.022574725502210846,-0.0008833730129810258
54,IYJ & VIS,long,2023-06-08,2023-07-06,19,-2.0059114133825253,-0.48583659638302085,-0.036823093828919795,-0.02940670572601256,0.007395386528569636
55,IYJ & VIS,long,2023-09-27,2023-11-02,27,-2.1256450585112017,-0.42693823475383924,-0.03985531971085887,-0.033458257640740285,0.006367873358066545
56,IYJ & VIS,short,2023-11-29,2024-03-27,82,2.1725993226595937,0.41084290557229486,-0.021723245407165415,-0.016100761056287105,-0.005742079949936918
57,IYJ & VIS,long,2024-05-29,2024-07-17,34,-2.080384793552462,-0.48025531159653373,-0.026407630219232203,-0.02234444493397092,0.003985650447193345
58,IYM & GDX,long,2020-02-25,2020-06-02,69,-2.155775141683764,-0.43613125782487405,-0.2733973418243547,-0.3164035541632346,-0.09491800472709644
59,IYM & GDX,short,2020-11-09,2021-09-20,217,2.1807025933024833,0.37924269416488354,-0.18521995261512636,0.05321019640194535,-0.22433993546994846
60,IYM & GDX,short,2021-11-03,2021-12-01,20,2.1331846124023772,0.4432078385671575,0.13164112924888283,0.08748037470166725,0.04399346075831634
61,IYM & GDX,short,2021-12-09,2022-01-21,30,2.0014427444223175,0.12311249472304223,0.1395927230927052,0.09892078263378767,0.039544097499905284
62,IYM & GDX,short,2022-06-07,2022-07-25,33,2.1221032579670887,-0.20052010090880074,0.18395067933410747,0.10757761134757615,0.07457675642870099
63,IYM & GDX,long,2022-09-30,2022-10-18,13,-2.178976312265943,-0.4737069282839919,0.025022995609726095,0.08737777434600247,0.06262137676102597
